DateTime,Number of sales,Active market wallets
2019-06-18 0:00,3022,1059
2019-06-19 0:00,2976,1066
2019-06-20 0:00,2231,881
2019-06-21 0:00,3292,1117
2019-06-22 0:00,3874,1025
2019-06-23 0:00,3741,995
2019-06-24 0:00,3776,1061
2019-06-25 0:00,2806,813
2019-06-26 0:00,2771,833
2019-06-27 0:00,1793,773
2019-06-28 0:00,1812,675
2019-06-29 0:00,2855,772
2019-06-30 0:00,2062,712
2019-07-01 0:00,1497,655
2019-07-02 0:00,1508,626
2019-07-03 0:00,1794,716
2019-07-04 0:00,2528,893
2019-07-05 0:00,2163,786
2019-07-06 0:00,3048,877
2019-07-07 0:00,2878,876
2019-07-08 0:00,2606,790
2019-07-09 0:00,2956,937
2019-07-10 0:00,2677,975
2019-07-11 0:00,1885,772
2019-07-12 0:00,2396,931
2019-07-13 0:00,2775,899
2019-07-14 0:00,2732,822
2019-07-15 0:00,2518,834
2019-07-16 0:00,1167,490
2019-07-17 0:00,2753,866
2019-07-18 0:00,4314,921
2019-07-19 0:00,2959,870
2019-07-20 0:00,4754,891
2019-07-21 0:00,4761,916
2019-07-22 0:00,3422,793
2019-07-23 0:00,3683,861
2019-07-24 0:00,2838,813
2019-07-25 0:00,2545,739
2019-07-26 0:00,4065,965
2019-07-27 0:00,3992,826
2019-07-28 0:00,3957,846
2019-07-29 0:00,3972,869
2019-07-30 0:00,4204,869
2019-07-31 0:00,3620,893
2019-08-01 0:00,3094,804
2019-08-02 0:00,2835,797
2019-08-03 0:00,3429,884
2019-08-04 0:00,3758,934
2019-08-05 0:00,3363,897
2019-08-06 0:00,2188,811
2019-08-07 0:00,2830,953
2019-08-08 0:00,2855,906
2019-08-09 0:00,2802,891
2019-08-10 0:00,2160,790
2019-08-11 0:00,2382,862
2019-08-12 0:00,2458,915
2019-08-13 0:00,2604,936
2019-08-14 0:00,2701,938
2019-08-15 0:00,2593,894
2019-08-16 0:00,2669,859
2019-08-17 0:00,3633,1011
2019-08-18 0:00,3746,912
2019-08-19 0:00,2323,746
2019-08-20 0:00,2829,831
2019-08-21 0:00,2334,807
2019-08-22 0:00,2535,886
2019-08-23 0:00,3037,968
2019-08-24 0:00,3666,970
2019-08-25 0:00,2788,835
2019-08-26 0:00,2012,822
2019-08-27 0:00,2947,820
2019-08-28 0:00,3069,870
2019-08-29 0:00,3007,897
2019-08-30 0:00,2367,790
2019-08-31 0:00,4792,971
2019-09-01 0:00,4598,897
2019-09-02 0:00,3986,890
2019-09-03 0:00,2951,793
2019-09-04 0:00,2267,773
2019-09-05 0:00,1697,663
2019-09-06 0:00,1489,620
2019-09-07 0:00,1488,606
2019-09-08 0:00,1447,529
2019-09-09 0:00,1382,512
2019-09-10 0:00,1152,555
2019-09-11 0:00,1264,572
2019-09-12 0:00,1299,584
2019-09-13 0:00,1287,587
2019-09-14 0:00,2876,615
2019-09-15 0:00,2537,571
2019-09-16 0:00,1247,527
2019-09-17 0:00,1071,557
2019-09-18 0:00,1135,529
2019-09-19 0:00,1113,542
2019-09-20 0:00,882,474
2019-09-21 0:00,2318,671
2019-09-22 0:00,2087,608
2019-09-23 0:00,1504,598
2019-09-24 0:00,1229,544
2019-09-25 0:00,1070,555
2019-09-26 0:00,1138,565
2019-09-27 0:00,984,503
2019-09-28 0:00,2020,606
2019-09-29 0:00,2555,736
2019-09-30 0:00,2060,646
2019-10-01 0:00,3569,785
2019-10-02 0:00,3270,738
2019-10-03 0:00,3968,708
2019-10-04 0:00,3321,680
2019-10-05 0:00,3441,772
2019-10-06 0:00,2810,808
2019-10-07 0:00,3142,766
2019-10-08 0:00,3235,803
2019-10-09 0:00,5400,998
2019-10-10 0:00,3712,849
2019-10-11 0:00,5072,910
2019-10-12 0:00,3207,756
2019-10-13 0:00,3091,819
2019-10-14 0:00,3396,802
2019-10-15 0:00,4617,1081
2019-10-16 0:00,3445,1130
2019-10-17 0:00,4628,1071
2019-10-18 0:00,4144,1231
2019-10-19 0:00,3906,1144
2019-10-20 0:00,8534,2079
2019-10-21 0:00,3111,1030
2019-10-22 0:00,3208,1004
2019-10-23 0:00,2192,882
2019-10-24 0:00,2210,895
2019-10-25 0:00,2554,897
2019-10-26 0:00,3922,936
2019-10-27 0:00,3599,907
2019-10-28 0:00,3670,912
2019-10-29 0:00,2828,897
2019-10-30 0:00,2710,822
2019-10-31 0:00,2684,877
2019-11-01 0:00,3340,834
2019-11-02 0:00,3943,936
2019-11-03 0:00,3012,938
2019-11-04 0:00,2863,915
2019-11-05 0:00,3021,936
